id_trx;no_invoice;total_berat;ongkos_kirim;total_harga;total_harga_beli;kode_user;alamat_penerima;tgl_kirim;id_ekspedisi;jenis_pengiriman;tgl_trx
24;INV-100000024;1100;54000;3580500;3580000;126108;Jalan W No. 81, Kel Mulyoarjo, Kec Lawang, Kab Kabupaten Malang Jawa Timur, 65216;04/01/2019 12.56;1;REG;03/01/2019 13.00
26;INV-100000026;2897;63000;3968250;3982500;222888;Jalan M No. 110, Kel Linggaraja, Kec Sukaraja, Kab Kabupaten Tasikmalaya Jawa Barat, 46183;04/01/2019 14.12;6;REG;03/01/2019 00.05
28;INV-100000028;153;27000;403700;407000;136277;Jalan N No. 36, Kel Sambiroto, Kec Baron, Kab Kabupaten Nganjuk Jawa Timur, 64394;04/01/2019 14.40;5;REG;03/01/2019 04.01
30;INV-100000030;1855;42000;3465550;3150500;94903;Jalan E No. 140, Kel Ciakar, Kec Cijulang, Kab Kabupaten Pangandaran Jawa Barat, 46394;04/01/2019 12.27;3;REG;03/01/2019 12.29
32;INV-100000032;670;21000;1672000;1520000;70432;Jalan E No. 105, Kel Bulusari, Kec Slogohimo, Kab Kabupaten Wonogiri Jawa Tengah, 57694;04/01/2019 09.41;2;REG;03/01/2019 06.48
34;INV-100000034;532;21000;1034000;940000;102917;Jalan D No. 111, Kel Kedalingan, Kec Tambakromo, Kab Kabupaten Pati Jawa Tengah, 59174;04/01/2019 11.41;1;REG;03/01/2019 21.39
36;INV-100000036;3073;84000;5857500;5600000;213208;Jalan P No. 125, Kel Ngrandah, Kec Toroh, Kab Kabupaten Grobogan Jawa Tengah, 58171;04/01/2019 14.14;2;REG;03/01/2019 03.35
38;INV-100000038;1117;54000;4034250;4075000;139256;Jalan V No. 61, Kel Sembilangan, Kec Bangkalan, Kab Kabupaten Bangkalan Jawa Timur, 69118;05/01/2019 12.57;4;REG;04/01/2019 19.48
40;INV-100000040;500;27000;4647500;4550000;209299;Jalan H No. 86, Kel Guci, Kec Karang Geneng, Kab Kabupaten Lamongan Jawa Timur, 62254;05/01/2019 11.07;1;REG;04/01/2019 09.40
42;INV-100000042;979;15000;1268025;1155000;169773;Jalan E No. 73, Kel Sukadiri, Kec Sukadiri, Kab Kabupaten Tangerang Banten, 15530;05/01/2019 13.30;5;REG;04/01/2019 23.50
44;INV-100000044;1200;54000;5142500;5050000;149691;Jalan N No. 77, Kel Sumberejo, Kec Banyuputih, Kab Kabupaten Situbondo Jawa Timur, 68374;05/01/2019 10.54;3;REG;04/01/2019 16.29
46;INV-100000046;2023;81000;5879500;5345000;112861;Jalan B No. 24, Kel Penanggal, Kec Candipuro, Kab Kabupaten Lumajang Jawa Timur, 67373;06/01/2019 16.46;1;REG;05/01/2019 04.58
48;INV-100000048;4740;105000;8321500;7970000;155159;Jalan B No. 39, Kel Buaran, Kec Jatibarang, Kab Kabupaten Brebes Jawa Tengah, 52261;06/01/2019 16.14;2;REG;05/01/2019 00.28
50;INV-100000050;1670;42000;1955250;1800000;136088;Jalan E No. 121, Kel Losari Kidul, Kec Losari, Kab Kabupaten Cirebon Jawa Barat, 45192;06/01/2019 15.36;3;REG;05/01/2019 10.11
52;INV-100000052;1047;42000;3377000;3070000;140605;Jalan F No. 110, Kel Cikangkung, Kec Ciracap, Kab Kabupaten Sukabumi Jawa Barat, 43176;06/01/2019 13.58;6;REG;05/01/2019 13.59
54;INV-100000054;108;27000;95700;87000;99016;Jalan V No. 146, Kel Sidomulyo, Kec Ngadirojo, Kab Kabupaten Pacitan Jawa Timur, 63572;06/01/2019 16.40;2;REG;05/01/2019 21.43
56;INV-100000056;76;21000;92400;84000;204035;Jalan T No. 140, Kel Rejosari, Kec Kangkung, Kab Kabupaten Kendal Jawa Tengah, 51353;08/01/2019 16.07;6;REG;07/01/2019 10.54
58;INV-100000058;4657;135000;1438250;1307500;258838;Jalan N No. 106, Kel Kepanjen, Kec Kepanjen, Kab Kabupaten Malang Jawa Timur, 65163;08/01/2019 14.51;2;REG;07/01/2019 00.54
60;INV-100000060;4022;105000;5289900;5159000;98181;Jalan A No. 113, Kel Sijeruk, Kec Kendal, Kab Kabupaten Kendal Jawa Tengah, 51315;08/01/2019 12.24;3;REG;07/01/2019 20.50
62;INV-100000062;3030;84000;1639000;1540000;109962;Jalan Y No. 66, Kel Sedari, Kec Cibuaya, Kab Kabupaten Karawang Jawa Barat, 41356;08/01/2019 09.30;4;REG;07/01/2019 20.50
64;INV-100000064;4604;105000;2763750;2520000;13252;Jalan N No. 62, Kel Tunggara, Kec Sigaluh, Kab Kabupaten Banjarnegara Jawa Tengah, 53481;08/01/2019 15.33;3;REG;07/01/2019 16.22
66;INV-100000066;177;21000;613800;558000;81745;Jalan O No. 37, Kel Karyamandala, Kec Salopa, Kab Kabupaten Tasikmalaya Jawa Barat, 46192;08/01/2019 15.47;5;REG;07/01/2019 20.32
68;INV-100000068;761;21000;3073400;2794000;231413;Jalan Y No. 66, Kel Jatisari, Kec Banjarejo, Kab Kabupaten Blora Jawa Tengah, 58253;08/01/2019 15.09;1;REG;07/01/2019 21.32
70;INV-100000070;1207;30000;2178000;1980000;30980;Jalan P No. 28, Kel Campakawarna, Kec Sindangresmi, Kab Kabupaten Pandeglang Banten, 42276;09/01/2019 09.06;5;REG;08/01/2019 00.25
72;INV-100000072;1100;30000;4647500;4550000;42651;Jalan P No. 82, Kel Cibingbin, Kec Cibaliung, Kab Kabupaten Pandeglang Banten, 42285;09/01/2019 12.35;2;REG;08/01/2019 09.15
74;INV-100000074;1383;42000;5375700;4927000;247788;Jalan J No. 133, Kel Kalisalak, Kec Kebasen, Kab Kabupaten Banyumas Jawa Tengah, 53172;09/01/2019 12.49;3;REG;08/01/2019 19.18
76;INV-100000076;2947;63000;4829275;4392500;38488;Jalan P No. 125, Kel Ngrandah, Kec Toroh, Kab Kabupaten Grobogan Jawa Tengah, 58171;09/01/2019 16.09;2;REG;08/01/2019 09.35
78;INV-100000078;3300;84000;4785000;4800000;50227;Jalan H No. 129, Kel Loram Kulon, Kec Jati, Kab Kabupaten Kudus Jawa Tengah, 59344;10/01/2019 11.39;3;REG;09/01/2019 07.33
80;INV-100000080;695;21000;3952850;3918500;143459;Jalan P No. 145, Kel Manggungan, Kec Trisi/Terisi, Kab Kabupaten Indramayu Jawa Barat, 45262;10/01/2019 16.27;5;REG;09/01/2019 01.10
82;INV-100000082;340;21000;913000;870000;120262;Jalan P No. 147, Kel Sitimulyo, Kec Pucakwangi, Kab Kabupaten Pati Jawa Tengah, 59183;10/01/2019 10.03;4;REG;09/01/2019 20.54
84;INV-100000084;692;21000;2038850;1853500;126014;Jalan L No. 114, Kel Gergunung, Kec Klaten Utara, Kab Kabupaten Klaten Jawa Tengah, 57434;10/01/2019 10.31;6;REG;09/01/2019 12.33
86;INV-100000086;6322;189000;6704500;6220000;113984;Jalan E No. 118, Kel Kerep, Kec Tarokan, Kab Kabupaten Kediri Jawa Timur, 64152;10/01/2019 16.33;4;REG;09/01/2019 18.04
88;INV-100000088;237;21000;1232000;1120000;40411;Jalan Q No. 41, Kel Pusakasari, Kec Leles, Kab Kabupaten Cianjur Jawa Barat, 43273;11/01/2019 16.31;4;REG;10/01/2019 22.43
90;INV-100000090;479;21000;297000;270000;64998;Jalan L No. 27, Kel Troso, Kec Pecangaan, Kab Kabupaten Jepara Jawa Tengah, 59462;11/01/2019 10.35;4;REG;10/01/2019 09.30
92;INV-100000092;523;21000;2867700;2607000;31900;Jalan R No. 83, Kel Dumeling, Kec Wanasari, Kab Kabupaten Brebes Jawa Tengah, 52252;11/01/2019 09.24;3;REG;10/01/2019 23.42
94;INV-100000094;1050;42000;951500;865000;260416;Jalan M No. 144, Kel Gereba, Kec Cipaku, Kab Kabupaten Ciamis Jawa Barat, 46252;11/01/2019 16.24;6;REG;10/01/2019 09.23
96;INV-100000096;167;27000;544500;495000;26883;Jalan F No. 73, Kel Kelompang Gubug, Kec Tambak, Kab Kabupaten Gresik Jawa Timur, 61182;11/01/2019 10.37;2;REG;10/01/2019 01.26
98;INV-100000098;1080;42000;2156000;1960000;116919;Jalan F No. 90, Kel Baturagung, Kec Gubug, Kab Kabupaten Grobogan Jawa Tengah, 58164;12/01/2019 12.41;4;REG;11/01/2019 13.15
100;INV-100000100;1450;42000;4840000;4400000;26205;Jalan F No. 133, Kel Sindulang, Kec Cimanggung, Kab Kabupaten Sumedang Jawa Barat, 45364;12/01/2019 14.30;6;REG;11/01/2019 11.10
102;INV-100000102;640;21000;3960000;4000000;170836;Jalan P No. 124, Kel Purwokerto Kulon, Kec Purwokerto Selatan, Kab Kabupaten Banyumas Jawa Tengah, 53141;12/01/2019 10.59;4;REG;11/01/2019 03.46
104;INV-100000104;6053;147000;6831000;6210000;56266;Jalan F No. 51, Kel Rasukan, Kec Ngombol, Kab Kabupaten Purworejo Jawa Tengah, 54172;12/01/2019 09.53;6;REG;11/01/2019 04.41
106;INV-100000106;755;27000;3069000;2790000;32922;Jalan R No. 79, Kel Bancelok, Kec Jrengik, Kab Kabupaten Sampang Jawa Timur, 69272;12/01/2019 11.29;4;REG;11/01/2019 10.33
108;INV-100000108;3144;108000;1016400;924000;160896;Jalan R No. 110, Kel Karang, Kec Semanding, Kab Kabupaten Tuban Jawa Timur, 62381;12/01/2019 16.42;3;REG;11/01/2019 21.58
110;INV-100000110;1973;42000;8580000;8300000;165946;Jalan J No. 142, Kel Peniron, Kec Pejagoan, Kab Kabupaten Kebumen Jawa Tengah, 54361;13/01/2019 10.17;6;REG;12/01/2019 05.16
112;INV-100000112;6827;147000;1617000;1595000;154681;Jalan V No. 44, Kel Krebet, Kec Masaran, Kab Kabupaten Sragen Jawa Tengah, 57282;13/01/2019 09.06;3;REG;12/01/2019 18.53
114;INV-100000114;364;21000;3485625;3517500;48748;Jalan G No. 108, Kel Tangsimekar, Kec Paseh, Kab Kabupaten Bandung Jawa Barat, 40383;13/01/2019 11.25;6;REG;12/01/2019 09.31
116;INV-100000116;5257;162000;3685000;3350000;99626;Jalan E No. 81, Kel Gondanglegi, Kec Prambon, Kab Kabupaten Nganjuk Jawa Timur, 64484;13/01/2019 15.24;3;REG;12/01/2019 16.15
118;INV-100000118;5402;162000;8244500;7570000;5690;Jalan R No. 78, Kel Manduro Manggung Gajah, Kec Ngoro, Kab Kabupaten Mojokerto Jawa Timur, 61385;15/01/2019 14.38;3;REG;14/01/2019 09.58
120;INV-100000120;5972;126000;1592250;1447500;138176;Jalan T No. 103, Kel Campuranom, Kec Bansari, Kab Kabupaten Temanggung Jawa Tengah, 56265;15/01/2019 09.55;5;REG;14/01/2019 23.01
122;INV-100000122;2379;81000;4103000;3770000;262375;Jalan D No. 44, Kel Kenongo, Kec Tulangan, Kab Kabupaten Sidoarjo Jawa Timur, 61273;15/01/2019 16.10;4;REG;14/01/2019 00.26
124;INV-100000124;8608;189000;3073400;2814000;47218;Jalan C No. 36, Kel Puspamukti, Kec Cigalontang, Kab Kabupaten Tasikmalaya Jawa Barat, 46463;15/01/2019 14.40;6;REG;14/01/2019 08.49
126;INV-100000126;3110;108000;3638250;3425000;5844;Jalan Z No. 38, Kel Sumberbendo, Kec Mantup, Kab Kabupaten Lamongan Jawa Timur, 62283;15/01/2019 10.57;4;REG;14/01/2019 20.15
128;INV-100000128;5920;126000;5964750;6025000;230762;Jalan Z No. 76, Kel Panulisan, Kec Dayeuhluhur, Kab Kabupaten Cilacap Jawa Tengah, 53266;15/01/2019 16.14;5;REG;14/01/2019 17.15
130;INV-100000130;2960;63000;4103000;3730000;177256;Jalan K No. 130, Kel Ciparanti, Kec Cimerak, Kab Kabupaten Pangandaran Jawa Barat, 46395;15/01/2019 09.00;5;REG;14/01/2019 20.52
132;INV-100000132;522;21000;1452275;1322500;219135;Jalan V No. 33, Kel Mranggen, Kec Jatinom, Kab Kabupaten Klaten Jawa Tengah, 57481;16/01/2019 13.24;2;REG;15/01/2019 21.59
134;INV-100000134;832;27000;1958000;1780000;29561;Jalan S No. 121, Kel Banjarmendalan, Kec Lamongan, Kab Kabupaten Lamongan Jawa Timur, 62212;16/01/2019 09.07;2;REG;15/01/2019 23.41
136;INV-100000136;2603;63000;4290000;3900000;188198;Jalan U No. 141, Kel Jatirawa, Kec Tarub, Kab Kabupaten Tegal Jawa Tengah, 52184;16/01/2019 10.07;6;REG;15/01/2019 15.58
138;INV-100000138;6020;189000;2084500;1970000;260467;Jalan H No. 117, Kel Katol Barat, Kec Geger, Kab Kabupaten Bangkalan Jawa Timur, 69152;16/01/2019 11.36;4;REG;15/01/2019 23.58
140;INV-100000140;4072;135000;1122550;1060500;253433;Jalan T No. 101, Kel Tolang, Kec Banyuates, Kab Kabupaten Sampang Jawa Timur, 69263;16/01/2019 16.18;2;REG;15/01/2019 17.29
142;INV-100000142;1427;54000;3800500;3550000;163560;Jalan I No. 73, Kel Tanjung, Kec Pademawu, Kab Kabupaten Pamekasan Jawa Timur, 69323;16/01/2019 13.00;6;REG;15/01/2019 15.07
144;INV-100000144;427;21000;3275800;2978000;50335;Jalan G No. 126, Kel Tribaktimulya, Kec Pangalengan, Kab Kabupaten Bandung Jawa Barat, 40378;17/01/2019 13.42;5;REG;16/01/2019 18.39
146;INV-100000146;667;27000;704000;640000;101342;Jalan S No. 144, Kel Totosan, Kec Batang Batang, Kab Kabupaten Sumenep Jawa Timur, 69473;17/01/2019 12.00;6;REG;16/01/2019 09.25
148;INV-100000148;4202;135000;2706000;2555000;130635;Jalan D No. 107, Kel Margosuko, Kec Bancar, Kab Kabupaten Tuban Jawa Timur, 62354;17/01/2019 11.02;5;REG;16/01/2019 06.49
150;INV-100000150;2972;63000;602800;548000;237759;Jalan I No. 125, Kel Cikeusal, Kec Gempol, Kab Kabupaten Cirebon Jawa Barat, 45161;17/01/2019 15.45;5;REG;16/01/2019 04.21
152;INV-100000152;2830;63000;6762250;6260000;15588;Jalan Y No. 82, Kel Kaliombo, Kec Sulang, Kab Kabupaten Rembang Jawa Tengah, 59254;17/01/2019 16.32;6;REG;16/01/2019 05.11
154;INV-100000154;2900;81000;1760000;1600000;171404;Jalan L No. 88, Kel Bicak, Kec Trowulan, Kab Kabupaten Mojokerto Jawa Timur, 61362;17/01/2019 13.58;6;REG;16/01/2019 09.45
156;INV-100000156;703;27000;836000;760000;115119;Jalan M No. 27, Kel Cangkring, Kec Plumpang, Kab Kabupaten Tuban Jawa Timur, 62382;17/01/2019 13.05;5;REG;16/01/2019 07.40
158;INV-100000158;720;27000;4298250;4255000;228345;Jalan A No. 133, Kel Lopang, Kec Kembangbahu, Kab Kabupaten Lamongan Jawa Timur, 62282;18/01/2019 12.10;4;REG;17/01/2019 23.26
160;INV-100000160;1502;54000;1881000;1710000;218181;Jalan E No. 129, Kel Bantur, Kec Bantur, Kab Kabupaten Malang Jawa Timur, 65179;18/01/2019 12.39;5;REG;17/01/2019 05.02
162;INV-100000162;3300;108000;8717500;8300000;133670;Jalan C No. 58, Kel Poreh, Kec Karang Penang, Kab Kabupaten Sampang Jawa Timur, 69254;18/01/2019 10.43;6;REG;17/01/2019 14.08
164;INV-100000164;1630;42000;913000;830000;113251;Jalan G No. 52, Kel Sukanagara, Kec Soreang, Kab Kabupaten Bandung Jawa Barat, 40911;18/01/2019 15.53;3;REG;17/01/2019 20.40
166;INV-100000166;2430;81000;671000;660000;120871;Jalan N No. 45, Kel Sumurup, Kec Bendungan, Kab Kabupaten Trenggalek Jawa Timur, 66351;18/01/2019 14.19;1;REG;17/01/2019 10.07
168;INV-100000168;890;27000;5571500;5470000;53682;Jalan A No. 124, Kel Nglewan (Ngelewan), Kec Sambit, Kab Kabupaten Ponorogo Jawa Timur, 63474;18/01/2019 16.29;6;REG;17/01/2019 19.44
170;INV-100000170;1278;54000;4500650;4204000;74734;Jalan X No. 34, Kel Sidokare, Kec Sidoarjo, Kab Kabupaten Sidoarjo Jawa Timur, 61214;18/01/2019 09.29;6;REG;17/01/2019 19.31
172;INV-100000172;6352;189000;4149750;3885000;61637;Jalan P No. 40, Kel Kemaduh, Kec Baron, Kab Kabupaten Nganjuk Jawa Timur, 64394;19/01/2019 15.49;4;REG;18/01/2019 17.41
174;INV-100000174;876;27000;1065075;1007500;58879;Jalan Y No. 37, Kel Margomulyo, Kec Margomulyo, Kab Kabupaten Bojonegoro Jawa Timur, 62168;19/01/2019 12.35;5;REG;18/01/2019 19.29
176;INV-100000176;5623;162000;4042500;3800000;179840;Jalan Y No. 110, Kel Cengungklung, Kec Gayam, Kab Kabupaten Bojonegoro Jawa Timur, 62152;19/01/2019 15.12;3;REG;18/01/2019 08.07
178;INV-100000178;1500;54000;5637500;5350000;234583;Jalan O No. 39, Kel Deket Kulon, Kec Deket, Kab Kabupaten Lamongan Jawa Timur, 62291;19/01/2019 11.04;1;REG;18/01/2019 03.54
180;INV-100000180;1187;30000;6726500;6440000;105078;Jalan N No. 121, Kel Pasirwaru, Kec Mancak, Kab Kabupaten Serang Banten, 42165;20/01/2019 10.48;6;REG;19/01/2019 04.42
182;INV-100000182;2092;63000;5643000;5350000;174568;Jalan O No. 32, Kel Genengmulyo, Kec Juwana, Kab Kabupaten Pati Jawa Tengah, 59185;20/01/2019 16.30;1;REG;19/01/2019 04.31
184;INV-100000184;1204;54000;3080000;3025000;237051;Jalan N No. 77, Kel Sumberejo, Kec Banyuputih, Kab Kabupaten Situbondo Jawa Timur, 68374;20/01/2019 14.54;3;REG;19/01/2019 16.49
186;INV-100000186;1200;42000;6517500;6250000;160459;Jalan T No. 105, Kel Ngaglik, Kec Bulukerto, Kab Kabupaten Wonogiri Jawa Tengah, 57697;20/01/2019 11.55;4;REG;19/01/2019 23.26
188;INV-100000188;1035;42000;3058000;2800000;252056;Jalan C No. 102, Kel Tlepok Kulon, Kec Grabag, Kab Kabupaten Purworejo Jawa Tengah, 54265;20/01/2019 10.08;6;REG;19/01/2019 06.02
190;INV-100000190;1739;42000;1636800;1575500;252808;Jalan O No. 138, Kel Badakarya, Kec Punggelan, Kab Kabupaten Banjarnegara Jawa Tengah, 53462;20/01/2019 10.07;4;REG;19/01/2019 06.27
192;INV-100000192;1600;54000;5775000;5575000;263047;Jalan K No. 107, Kel Bendosari, Kec Sanan Kulon, Kab Kabupaten Blitar Jawa Timur, 66151;22/01/2019 13.39;3;REG;21/01/2019 11.13
194;INV-100000194;1780;54000;7394750;7175000;193551;Jalan F No. 63, Kel Wiyung, Kec Wiyung, Kab Kota Surabaya Jawa Timur, 60228;22/01/2019 09.28;1;REG;21/01/2019 04.04
196;INV-100000196;3803;84000;7254500;6970000;180831;Jalan R No. 100, Kel Simpang, Kec Pasirkuda, Kab Kabupaten Cianjur Jawa Barat, 43266;22/01/2019 13.19;1;REG;21/01/2019 17.13
198;INV-100000198;4557;75000;1140700;1040000;90023;Jalan L No. 137, Kel Lebakwangi, Kec Lebak Wangi, Kab Kabupaten Serang Banten, 42183;22/01/2019 09.26;4;REG;21/01/2019 00.26
200;INV-100000200;310;21000;990000;900000;76097;Jalan W No. 118, Kel Karanganom, Kec Kandeman, Kab Kabupaten Batang Jawa Tengah, 51261;22/01/2019 13.45;5;REG;21/01/2019 09.31
202;INV-100000202;915;27000;4851000;4540000;241753;Jalan M No. 36, Kel Bareng, Kec Sawahan, Kab Kabupaten Nganjuk Jawa Timur, 64475;22/01/2019 15.13;3;REG;21/01/2019 10.34
204;INV-100000204;4178;135000;2053700;1867000;128748;Jalan R No. 117, Kel Sidokerto, Kec Buduran, Kab Kabupaten Sidoarjo Jawa Timur, 61252;23/01/2019 15.35;5;REG;22/01/2019 04.13
206;INV-100000206;4647;105000;1513875;1502500;72388;Jalan U No. 52, Kel Kaliurip, Kec Kemiri, Kab Kabupaten Purworejo Jawa Tengah, 54262;23/01/2019 11.36;1;REG;22/01/2019 07.53
208;INV-100000208;2190;45000;9223500;8790000;103905;Jalan H No. 21, Kel Peusar, Kec Panongan, Kab Kabupaten Tangerang Banten, 15710;23/01/2019 16.05;6;REG;22/01/2019 14.28
210;INV-100000210;1393;42000;3652000;3320000;236517;Jalan D No. 115, Kel Tegalretno, Kec Petanahan, Kab Kabupaten Kebumen Jawa Tengah, 54382;23/01/2019 15.37;5;REG;22/01/2019 03.20
212;INV-100000212;390;21000;3602500;3350000;125900;Jalan Q No. 138, Kel Tegalroso, Kec Parakan, Kab Kabupaten Temanggung Jawa Tengah, 56254;23/01/2019 13.17;4;REG;22/01/2019 03.07
214;INV-100000214;97;27000;170500;155000;194135;Jalan L No. 70, Kel Banaran Kulon, Kec Bagor, Kab Kabupaten Nganjuk Jawa Timur, 64461;23/01/2019 09.34;1;REG;22/01/2019 08.32
216;INV-100000216;3663;108000;1170400;1064000;207772;Jalan F No. 97, Kel Ngadirejo, Kec Kediri Kota, Kab Kota Kediri Jawa Timur, 64122;24/01/2019 12.31;6;REG;23/01/2019 11.06
218;INV-100000218;150;21000;869000;790000;238453;Jalan S No. 144, Kel Gribig, Kec Gebog, Kab Kabupaten Kudus Jawa Tengah, 59333;24/01/2019 13.36;4;REG;23/01/2019 11.23
220;INV-100000220;1653;54000;4031500;3665000;261634;Jalan E No. 94, Kel Pojok Rejo, Kec Kesamben, Kab Kabupaten Jombang Jawa Timur, 61484;24/01/2019 15.10;6;REG;23/01/2019 20.25
222;INV-100000222;1480;42000;4455000;4050000;25553;Jalan G No. 96, Kel Mlale, Kec Jenar, Kab Kabupaten Sragen Jawa Tengah, 57256;24/01/2019 15.49;2;REG;23/01/2019 10.46
224;INV-100000224;2101;63000;5559400;5379000;140100;Jalan W No. 20, Kel Karang Baru, Kec Cikarang Utara, Kab Kabupaten Bekasi Jawa Barat, 17530;24/01/2019 11.08;6;REG;23/01/2019 06.55
226;INV-100000226;2762;63000;4540250;4350000;154941;Jalan U No. 60, Kel Mojowetan, Kec Banjarejo, Kab Kabupaten Blora Jawa Tengah, 58253;24/01/2019 10.13;1;REG;23/01/2019 06.01
228;INV-100000228;680;27000;4108500;4150000;64812;Jalan Z No. 58, Kel Tambaagung Barat, Kec Ambunten, Kab Kabupaten Sumenep Jawa Timur, 69455;24/01/2019 12.29;2;REG;23/01/2019 17.00
230;INV-100000230;955;27000;3047000;2810000;185303;Jalan D No. 122, Kel Kertagena Tengah, Kec Kadur, Kab Kabupaten Pamekasan Jawa Timur, 69355;25/01/2019 14.37;5;REG;24/01/2019 08.30
232;INV-100000232;92;21000;242550;243000;170412;Jalan A No. 86, Kel Pabeanilir, Kec Pasekan, Kab Kabupaten Indramayu Jawa Barat, 45219;25/01/2019 13.14;6;REG;24/01/2019 03.56
234;INV-100000234;772;27000;4667300;4568000;164274;Jalan B No. 55, Kel Kuripansari, Kec Pacet, Kab Kabupaten Mojokerto Jawa Timur, 61374;25/01/2019 09.42;2;REG;24/01/2019 23.22
236;INV-100000236;405;21000;2090000;1900000;51587;Jalan N No. 134, Kel Arjasari, Kec Arjasari, Kab Kabupaten Bandung Jawa Barat, 40379;25/01/2019 12.40;6;REG;24/01/2019 23.31
238;INV-100000238;920;15000;6484500;6270000;209267;Jalan J No. 140, Kel Kedaung, Kec Pamulang, Kab Kota Tangerang Selatan Banten, 15415;25/01/2019 13.05;3;REG;24/01/2019 22.05
240;INV-100000240;10830;231000;4719000;4565000;72273;Jalan S No. 131, Kel Langgengsari, Kec Lelea, Kab Kabupaten Indramayu Jawa Barat, 45261;25/01/2019 14.21;5;REG;24/01/2019 23.25
242;INV-100000242;11300;324000;1815000;1650000;179095;Jalan Q No. 149, Kel Ba'engas, Kec Labang, Kab Kabupaten Bangkalan Jawa Timur, 69163;26/01/2019 14.48;2;REG;25/01/2019 08.09
244;INV-100000244;702;21000;2684000;2440000;110417;Jalan P No. 149, Kel Candi, Kec Todanan, Kab Kabupaten Blora Jawa Tengah, 58256;26/01/2019 10.06;3;REG;25/01/2019 02.26
246;INV-100000246;2397;45000;771375;752500;219037;Jalan J No. 145, Kel Cikatomas, Kec Cilograng, Kab Kabupaten Lebak Banten, 42393;26/01/2019 12.24;6;REG;25/01/2019 15.23
248;INV-100000248;585;27000;4625500;4550000;106724;Jalan B No. 22, Kel Nglebur, Kec Kedungpring, Kab Kabupaten Lamongan Jawa Timur, 62272;26/01/2019 15.16;6;REG;25/01/2019 09.42
250;INV-100000250;2339;63000;517275;521500;240633;Jalan D No. 41, Kel Pruwatan, Kec Bumiayu, Kab Kabupaten Brebes Jawa Tengah, 52273;26/01/2019 12.02;5;REG;25/01/2019 03.25
252;INV-100000252;1582;42000;5480750;5285000;33431;Jalan I No. 108, Kel Mandala, Kec Cimanggu, Kab Kabupaten Cilacap Jawa Tengah, 53256;26/01/2019 12.39;5;REG;25/01/2019 11.22
254;INV-100000254;892;21000;1560900;1419000;193033;Jalan H No. 118, Kel Gombong, Kec Gombong, Kab Kabupaten Kebumen Jawa Tengah, 54411;27/01/2019 13.33;5;REG;26/01/2019 09.43
256;INV-100000256;2949;63000;1171775;1067500;76528;Jalan R No. 108, Kel Kaliabu, Kec Salaman, Kab Kabupaten Magelang Jawa Tengah, 56162;27/01/2019 14.40;3;REG;26/01/2019 12.31
